speaker,transcript,sentiment,intonation,pitch range,start_time,end_time,chunk
Agent,"Selamat sore dengan Grasela, bagaimana saya bisa membantu?",neutral,falling,middle,0.0,2.13,1
Customer,"Ya, selamat sore Mbak Grasela.",neutral,falling,middle,2.13,3.2,1
Agent,"Ya, Pak?",neutral,rising,middle,3.2,3.56,1
Customer,"Ini Mbak, eh saya mau nanya, saya mau ngajuin pinjaman ekstra dana.",neutral,falling,middle,3.56,7.15,1
Customer,"Tapi ini saya bukan nasabahnya CIMB Niaga ini, bisa enggak Mbak ya?",neutral,falling,middle,7.15,10.81,1
Agent,"Begitu, Bapak tadi ingin pengajuan ekstra dana, saat ini tidak memiliki rekening tabungan di CIMB Niaga?",neutral,falling,middle,10.81,16.63,1
Customer,"Iya, saya belum punya tabungan, saya belum punya apa-apa sih.",neutral,falling,middle,16.63,20.71,1
Agent,"Begitu, baik, untuk kartu kreditnya CIMB Niaga memiliki tidak, Pak?",neutral,falling,middle,20.71,25.08,1
Customer,"Enggak, enggak ada, enggak ada sama sekali.",neutral,falling,middle,25.08,28.16,1
Agent,Tidak memiliki ya?,neutral,rising,middle,28.16,29.47,1
Customer,Saya bukan nasabahnya CIMB Niaga.,neutral,falling,middle,29.47,32.92,1
Agent,"Baik, jika untuk tidak memiliki untuk tabungan di CIMB Niaga, silakan disebutkan untuk nomor KTP-nya, Pak.",neutral,falling,middle,32.92,40.24,1
Customer,"KTP ya? Eh, 3323.",neutral,falling,middle,40.24,43.55,1
Agent,Iya.,neutral,falling,middle,43.55,43.92,1
Customer,Kemudian?,neutral,rising,middle,43.92,44.64,1
Customer,0423.,neutral,falling,middle,44.64,46.01,1
Agent,Iya.,neutral,falling,middle,46.01,46.31,1
Customer,0199.,neutral,falling,middle,46.31,47.64,1
Agent,Iya.,neutral,falling,middle,47.64,47.99,1
Customer,0,neutral,falling,middle,47.99,48.36,1
Customer,3323 0423 0199 0001,neutral,normal,middle,0.0,1.54,2
Agent,Saya ulangi ya Pak 3323 0423 0199 0001,neutral,normal,middle,1.54,4.04,2
Customer,Iya,neutral,normal,middle,4.04,4.34,2
Agent,Nomor handphone yang terdaftar silakan disebutkan Pak,neutral,normal,middle,4.34,6.42,2
Agent,Mau nomor handphone yang aktif,neutral,normal,middle,6.42,7.35,2
Customer,Ee 0811,neutral,normal,middle,7.35,8.08,2
Agent,Iya,neutral,normal,middle,8.08,8.32,2
Customer,2322,neutral,normal,middle,8.32,8.79,2
Agent,Iya,neutral,normal,middle,8.79,9.03,2
Customer,445,neutral,normal,middle,9.03,9.37,2
Agent,Mau ditunggu ya Pak,neutral,normal,middle,9.37,10.24,2
silence,,neutral,none,none,10.24,13.71,2
Agent,Bapak coba bisa sih saya mau ngajukannya itu 11 juta 567.550,neutral,normal,middle,13.71,17.28,2
Agent,11 juta 567.550,neutral,normal,middle,17.28,19.17,2
Customer,Iya,neutral,normal,middle,19.17,19.43,2
Agent,"Baik, untuk pengajuannya di-gantikan karena Bapak saat ini belum memiliki rekening tabungan ataupun kartu kredit di sini ya Pak",neutral,normal,middle,19.43,24.68,2
Agent,"Ini sifatnya pengajuan, akan saya kirimkan terlebih dahulu link ke SMS, boleh dicek terlebih dahulu Pak sudah diterima",neutral,normal,middle,24.68,29.03,2
Customer,"Oke, sudah",neutral,normal,middle,29.03,29.75,2
Agent,"Baik, boleh dicek terlebih dulu",neutral,normal,middle,29.75,31.03,2
Customer,Dari data-data lengkap ya Pak?,neutral,rising,middle,0.0,1.14,3
Agent,Iya,neutral,normal,middle,1.14,1.47,3
Agent,Jangan lupa untuk melengkapi ya,neutral,normal,middle,1.47,2.54,3
Agent,Di sini kan kita memang boleh kan untuk upload file,neutral,normal,middle,2.54,4.22,3
Agent,Jadi pastikan kita memang sudah melengkapi,neutral,normal,middle,4.22,5.49,3
Agent,Upload file Pak ini penting banget,neutral,normal,middle,5.49,6.82,3
Agent,eee yang kita akan,neutral,normal,middle,6.82,7.57,3
Customer,Sudah diisi?,neutral,rising,middle,7.57,8.17,3
Agent,Sudah,neutral,normal,middle,8.17,8.5,3
Agent,Sudah diisi dengan lengkap ya?,neutral,rising,middle,8.5,9.67,3
Agent,"Baik, kebetulan ini ketika memang sudah pengisian data dengan lengkap",neutral,normal,middle,9.67,12.0,3
Agent,Nanti ditunggu terlebih dahulu untuk konfirmasi disetujui apa tidaknya,neutral,normal,middle,12.0,14.14,3
Agent,Ini akan diinformasikan langsung dari bagian personalia kami,neutral,normal,middle,14.14,16.11,3
Agent,Karena kan saat ini sifatnya adalah kategori yang tidak terundang,neutral,normal,middle,16.11,18.41,3
Agent,Dan nanti sifatnya pengajuan ya Pak,neutral,rising,middle,18.41,19.84,3
Customer,Oh gitu ya,neutral,rising,middle,19.84,20.54,3
Agent,Iya,neutral,normal,middle,20.54,20.84,3
silence,,neutral,none,none,20.84,21.78,3
Customer,Oh tapi bisakah ya Mbak ngajuin itu ya,neutral,rising,middle,21.78,23.61,3
Customer,Ekstra dana lewat sini walaupun saya belum jadi nasabah nya CIMB Niaga,neutral,normal,middle,23.61,27.28,3
Agent,Iya jika misalnya nasabah yang tidak memiliki rekening tabungan di CIMB Niaga ataupun kartu kredit,neutral,normal,middle,27.28,31.45,3
Agent,Maka datanya adalah mengirimkan link yang saya kirimkan,neutral,normal,middle,31.45,33.78,3
Agent,Baik ada lagi yang bisa saya bantu,neutral,falling,middle,0.0,1.44,5
Customer,Itu aja,neutral,falling,middle,1.44,1.92,5
Agent,Baik terima kasih Bapak Doni telah menghubungi kami ini saja Selamat sore sehat selalu,positive,falling,middle,1.92,4.24,5
Customer,Iya,neutral,falling,middle,4.24,4.56,5
silence,,neutral,none,none,4.56,5.44,5
