speaker,transcript,sentiment,intonation,pitch range,start_time,end_time,chunk
Agent,"Selamat sore, dan jika bagaimana saya bisa membantu?",neutral,falling,middle,0.0,1.9,1
Customer,"Iya, selamat Mbak.",neutral,falling,middle,1.9,2.9,1
Agent,Selamat sore Ibu.,neutral,falling,middle,2.9,3.8,1
Customer,"Iya, ee Mbak aku mau pengajuan ekstra dana dong.",neutral,falling,middle,3.8,6.3,1
Agent,"Baik, dengan Ibu siapa saya berbicara?",neutral,falling,middle,6.3,8.0,1
Customer,Aku Kayla.,neutral,falling,middle,8.0,8.8,1
Agent,"Untuk pengajuan ekstra dana, bisa tolong sebutkan nomor kartu ATM atau nomor rekeningnya, Bu?",neutral,falling,middle,8.8,13.9,1
Customer,"Ee Mbak, aku tuh belum punya kartu kredit atau belum punya rekening di bank, Mbak.",neutral,falling,middle,13.9,19.7,1
Agent,"Baik, walaupun belum menjadi nasabah kami Ibu tetap dapat mengajukan pinjaman dana tunai tanpa jaminan secara online. Sebelumnya saya akan",neutral,falling,middle,19.7,28.6,1
Agent,"Ya, bisa menginformasikan untuk syarat eh pengajuannya ya, Bu?",neutral,rising,middle,0.0,2.7,2
silence,,neutral,none,none,2.7,3.2,2
Agent,Yang pertama,neutral,falling,middle,3.2,3.8,2
Agent,Ibu sudah memil- Ibu wajib sudah memiliki kartu kredit eh bank online dengan kondisi status kartu kredit lancar dan masa keanggotaan 12 bulan dengan limit minimal 4 juta,neutral,falling,middle,3.8,12.1,2
Agent,Yang kedua tidak mengikuti program restrukturisasi,neutral,falling,middle,12.1,16.0,2
Agent,"Yang ketiga tidak bekerja di perusahaan yang bergerak di bidang pariwisata, travel, hotel, penerbangan, pelayaran, dan karyawan outsourcing atau kontrak",neutral,falling,middle,16.0,25.6,2
silence,,neutral,none,none,25.6,27.0,2
Agent,Mmm,neutral,falling,middle,27.0,27.6,2
Agent,"kalau kartu kreditnya sudah berumur 5 tahun ya, baik",neutral,falling,middle,27.6,32.0,2
Agent,Baik terus Insya Allah kartu juga lancar,neutral,falling,middle,0.0,1.3,3
Customer,Iya,neutral,falling,middle,1.3,1.6,3
Agent,Untuk rilis akun juga sampai di sini juga sampai di sini eh rilis akun dan saya akan kirim ke Ibu,neutral,falling,middle,1.6,3.5,3
Customer,Baik,neutral,falling,middle,3.5,3.8,3
Agent,Untuk jadi informasi ya untuk pengiriman SMS link-nya bisa saya tanyakan beberapa hal terlebih dahulu,neutral,falling,middle,3.8,6.3,3
silence,,neutral,none,none,6.3,6.5,3
Agent,Gitu di informasi kan untuk nama lengkap Ibu,neutral,falling,middle,6.5,8.0,3
Customer,Eh nama lengkapnya saya aja ya,neutral,falling,middle,8.0,8.9,3
Agent,Tanggal lahirnya berapa Bu,neutral,falling,middle,8.9,9.6,3
Customer,29 Maret,neutral,falling,middle,9.6,10.2,3
Agent,Iya,neutral,falling,middle,10.2,10.5,3
Customer,1990,neutral,falling,middle,10.5,11.0,3
Agent,Nomor handphone Ibu yang aktif,neutral,falling,middle,11.0,11.9,3
Customer,0811,neutral,falling,middle,11.9,12.4,3
Agent,Iya,neutral,falling,middle,12.4,12.7,3
Customer,978,neutral,falling,middle,12.7,13.1,3
Agent,Iya,neutral,falling,middle,13.1,13.4,3
Customer,14041,neutral,falling,middle,13.4,14.0,3
Agent,Kemudian untuk alamat email yang update,neutral,falling,middle,14.0,15.2,3
Customer,Sama aja ya,neutral,falling,middle,15.2,15.8,3
Agent,Iya,neutral,falling,middle,15.8,16.1,3
Agent,Ya,neutral,normal,middle,0.0,0.2,4
Customer,Kemudian untuk ID KTP-nya Ibu?,neutral,falling,middle,0.2,1.1,4
Customer,Nomor KTP aku 3323,neutral,normal,middle,1.1,2.0,4
Agent,Iya,neutral,normal,middle,2.0,2.2,4
Customer,00423,neutral,normal,middle,2.2,2.7,4
Agent,Iya,neutral,normal,middle,2.7,2.9,4
Customer,001123,neutral,normal,middle,2.9,3.5,4
Agent,Iya,neutral,normal,middle,3.5,3.7,4
Customer,0001,neutral,normal,middle,3.7,4.1,4
Agent,Baik,neutral,normal,middle,4.1,4.3,4
silence,,neutral,none,none,4.3,5.1,4
Agent,Terima kasih Ibu atas data yang sudah diinformasikan SMS-nya sudah saya kirimkan apakah Ibu sudah menerima?,neutral,falling,middle,5.1,8.4,4
Customer,Sudah Mbak,neutral,normal,middle,8.4,8.9,4
Agent,Silakan Ibu hanya mengisi semua data yang dibutuhkan pada online form yang saya kirimkan menggunakan browser Google Chrome atau Safari Sebagai informasi notifikasi status pengajuan ekstra dana akan dikirimkan melalui SMS ke nomor handphone Ibu,neutral,falling,middle,8.9,16.5,4
Agent,"Oke, baik. Ada lagi yang bisa dibantu Ibu Kania?",neutral,falling,middle,0.0,2.26,5
Customer,"Ehm, kalau misalnya dulu aku di Banglai itu, 2017 itu, aku dulu disitujuin itu di nominal Rp19.567.000. Kalau 17 itu, aku dapat itu apa ya nominalnya memangnya?",neutral,falling,middle,2.26,12.0,5
Agent,"Untuk nominal yang disetujui nanti tergantung dari tim analisis ya, Bu.",neutral,falling,middle,12.0,16.31,5
Customer,"Iya, oke. Baik, aku coba aja dulu dari Banglai ya, terus nanti aku coba ajukan dari pokoknya.",neutral,falling,middle,16.31,22.14,5
Agent,Baik. Ada lagi yang bisa dibantu Ibu?,neutral,falling,middle,22.14,24.35,5
Customer,Silakan.,neutral,falling,middle,24.35,25.17,5
Customer,Terima kasih ya Mbak,neutral,falling,middle,0.0,1.2,6
Agent,Baik terima kasih bukannya telah menghubungi saya selama sore semoga pengajuannya disetujui ya Bu,positive,falling,middle,1.2,4.5,6
Customer,Terima kasih,neutral,falling,middle,4.5,5.4,6
silence,,neutral,none,none,5.4,6.1,6
Agent,P,neutral,falling,middle,6.1,6.5,6
