speaker,transcript,sentiment,intonation,pitch range,start_time,end_time,chunk
Customer,Selamat siang Mbak Sira. Bagaimana bisa membantu?,neutral,falling,middle,0.0,2.24,1
Agent,"Iya, selamat siang Mbak Sira. Siang Ibu. Baik, bisa bantu?",neutral,falling,middle,2.24,4.08,1
Customer,"Baik. Ehm, saya mau daftarin e-statement, Mbak.",neutral,falling,middle,4.08,6.12,1
Agent,E-statement ya Ibu?,neutral,rising,middle,6.12,6.84,1
Customer,Iya.,neutral,falling,middle,6.84,7.2,1
Agent,Sebelumnya dengan Ibu siapa saya berbicara?,neutral,falling,middle,7.2,8.64,1
Customer,Saya dengan Nina.,neutral,falling,middle,8.64,9.24,1
Agent,Ibu Nina ya?  Boleh disebutkan nomor kartu Ibu terlebih dahulu?,neutral,falling,middle,9.24,11.28,1
Customer,Nomor kartunya di 5336,neutral,falling,middle,11.28,12.36,1
Agent,Iya.,neutral,falling,middle,12.36,12.6,1
Customer,7409,neutral,falling,middle,12.6,13.08,1
Agent,7409?,neutral,rising,middle,13.08,13.44,1
Customer,0117,neutral,falling,middle,13.44,13.92,1
Agent,Iya.,neutral,falling,middle,13.92,14.2,1
Customer,2626,neutral,falling,middle,14.2,14.64,1
Agent,2626.,neutral,falling,middle,14.64,15.0,1
Customer,Iya.,neutral,falling,middle,15.0,15.24,1
Agent,"Kartunya apakah sudah dilengkapi dengan PIN, Ibu?",neutral,falling,middle,15.24,16.92,1
Customer,Kartunya sudah.,neutral,falling,middle,16.92,17.4,1
Agent,"Sudah ya? Saya alihkan terlebih dahulu Ibu Nina ke sistem untuk verifikasi data, silakan tekan enam PIN Ibu diakhiri dengan tanda pagar setelah ada suara ya.",neutral,falling,middle,17.4,21.36,1
Customer,Hmm.,neutral,falling,middle,21.36,21.6,1
Agent,Iya.,neutral,falling,middle,21.6,21.84,1
Customer,"Baik. Saya alihkan Ibu, silakan.",neutral,falling,middle,21.84,23.28,1
Agent,Iya.,neutral,falling,middle,23.28,23.52,1
silence,,neutral,none,none,23.52,24.48,1
Agent,PIN yang Anda masukkan benar?,neutral,rising,middle,24.48,25.8,1
silence,,neutral,none,none,25.8,26.4,1
Agent,Terima kasih Ibu.,positive,falling,middle,26.4,27.6,1
Customer,"Minna, untuk datanya saya cek terlebih dahulu ya Ibu, mohon ditunggu.",neutral,falling,middle,0.0,2.24,2
Agent,"Iya, oke.",neutral,falling,middle,2.24,2.84,2
silence,,neutral,none,none,2.84,4.04,2
Customer,"Ibu Minna, terima kasih atas kesediaan menunggu. Untuk alamat email yang ingin didaftarkan, bisa disebutkan Ibu?",neutral,falling,middle,4.04,7.56,2
Agent,"Iya, itu emailnya di Nina N I N A @gmail.com.",neutral,falling,middle,7.56,10.76,2
Customer,Iya.,neutral,falling,middle,10.76,11.08,2
Agent,Nina Nano India Nano Alpha 1 gmail.com ya Ibu?,neutral,rising,middle,11.08,13.68,2
Customer,"Iya, betul.",neutral,falling,middle,13.68,14.36,2
Agent,"Sebelum saya proses eh, pelaporan untuk pendaftaran alamat email Ibu, saya akan kirimkan kode verifikasi melalui SMS ya Ibu, di nomor telepon Ibu yang terdaftar.",neutral,falling,middle,14.36,21.16,2
Customer,Hmm.,neutral,falling,middle,21.16,21.52,2
Agent,Heeh. Nomor teleponnya aktif ya Ibu?,neutral,rising,middle,21.52,23.28,2
Customer,Aktif.,neutral,falling,middle,23.28,23.76,2
Agent,"Saya sudah kirimkan kode verifikasi melalui SMS, apakah sudah Ibu terima?",neutral,falling,middle,23.76,27.24,2
Customer,"Iya, sudah Mbak.",neutral,falling,middle,27.24,28.04,2
Agent,"Sudah ya. Saya alihkan Ibu kembali ke sistem, silakan tekan enam kode pasword tanpa pager Ibu.",neutral,falling,middle,28.04,32.48,2
Customer,Hmm.,neutral,falling,middle,32.48,32.84,2
Agent,"Baik, saya alihkan, silakan.",neutral,falling,middle,32.84,34.24,2
Customer,Terima kasih.,positive,falling,middle,34.24,35.08,2
Agent,Pasword yang anda,neutral,falling,middle,35.08,36.08,2
Agent,Sudah masuk kan benar?,neutral,rising,middle,0.0,0.8,3
Customer,Terima kasih Ibu Rina. Sebelumnya saya konfirmasi terlebih dahulu Ibu hari ini tanggal 8 Januari 2025 dengan saya Sira. Sudah kami lakukan pelaporan untuk pendaftaran alamat email Ibu di nina@gmail.com ya Ibu?,neutral,falling,middle,0.8,5.6,3
Agent,Iya.,neutral,normal,middle,5.6,5.9,3
