speaker,transcript,sentiment,intonation,pitch range,start_time,end_time,chunk
Agent,Selamat sore dengan Grasela bagaimana saya bisa membantu,neutral,falling,middle,0.0,1.5,1
Customer,Selamat siang Mbak Grasela,neutral,falling,middle,1.5,2.8,1
Agent,Iya silakan Pak,neutral,falling,middle,2.8,3.6,1
Customer,Ini Mbak Grasela saya mau eh daftar pengiriman kartu kredit saya melalui email,neutral,falling,middle,3.6,7.6,1
Agent,Pengiriman kartu kredit melalui email,neutral,rising,middle,7.6,9.1,1
Customer,Iya,neutral,falling,middle,9.1,9.4,1
Agent,Baik dengan Bapak siapa saya berbicara,neutral,falling,middle,9.4,11.2,1
Customer,Dengan Doni,neutral,falling,middle,11.2,11.8,1
Agent,Bapak Doni,neutral,falling,middle,11.8,12.4,1
Agent,Bapak Doni bisa disebutkan untuk,neutral,falling,middle,12.4,14.1,1
Agent,nomor kartu atau kartu kreditnya Mas,neutral,falling,middle,14.1,16.1,1
Customer,Nomor kartunya 5336,neutral,falling,middle,16.1,18.0,1
Agent,Iya,neutral,falling,middle,18.0,18.3,1
Customer,7409,neutral,falling,middle,18.3,19.0,1
Agent,Iya,neutral,falling,middle,19.0,19.3,1
Customer,0117,neutral,falling,middle,19.3,20.0,1
Agent,Iya,neutral,falling,middle,20.0,20.3,1
Customer,2626,neutral,falling,middle,20.3,21.1,1
Agent,Saya ulang kembali di 5336,neutral,falling,middle,21.1,23.3,1
Customer,Heeem,neutral,falling,middle,23.3,23.7,1
Agent,7409,neutral,falling,middle,23.7,24.4,1
Agent,Iya,neutral,falling,middle,24.4,24.7,1
Agent,0117 2626,neutral,falling,middle,24.7,26.1,1
Customer,Iya,neutral,falling,middle,26.1,26.4,1
Agent,Baik untuk PIN kartu kreditnya apakah masih diingat kan namun jangan disebutkan,neutral,falling,middle,26.4,31.1,1
Customer,Iya masih ingat,neutral,falling,middle,31.1,32.5,1
Agent,Saya alihkan Bapak ke,neutral,falling,middle,32.5,34.1,1
Agent,Bismillah untuk verifikasi kartu kredit Silakan Bapak tekan PIN kartu kreditnya diakhiri dengan tanda pagar ya Pak,neutral,falling,middle,0.0,3.2,2
Customer,Ah oke,neutral,falling,middle,3.2,3.8,2
Agent,Baik saya alihkan,neutral,falling,middle,3.8,4.7,2
silence,,neutral,none,none,4.7,6.4,2
Agent,Terima kasih Untuk alamat email-nya silakan disebutkan Pak,neutral,falling,middle,6.4,9.0,2
